Dataset,NetworkType,Alternative,IsCandidate,WelfareAtZero,WelfareSlope,SingletonSumAtZero,SurplusAtZero,SurplusSlope,CriticalC,CriticalCErrorEstimate
PolBK,Local,5,0,4634.93049588093,-63,1847.06950411907,2787.86099176186,-126,22.1258808869989,5.65992334615006e-10
PolBK,Local,6,0,4446.46379562467,-63,1839.53620437534,2606.92759124933,-126,20.6899015178518,5.56141957950033e-10
PolBK,Local,7,1,5244.10004466548,-63,1965.89995533452,3278.20008933096,-126,26.0174610264362,6.10690600289979e-10
PolBK,Local,8,0,4835.34685350881,-63,1772.65314649119,3062.69370701762,-126,24.3070929128383,5.76118489447061e-10
PolBK,Global,1,0,4560.44495599558,-157.5,1739.55504400443,2820.88991199115,-315,8.95520606981318,2.5126109220202e-10
PolBK,Global,2,0,4835.93056945202,-157.5,1954.06943054798,2881.86113890403,-315,9.14876552033027,2.6376225391008e-10
PolBK,Global,3,0,4622.14042252256,-157.5,2013.85957747744,2608.28084504511,-315,8.28025665093686,2.60671963489574e-10
PolBK,Global,4,0,4647.01035145483,-157.5,1960.98964854517,2686.02070290966,-315,8.52704985050684,2.61135345714462e-10
PolBK,Global,5,0,4601.17251829458,-157.5,1880.82748170542,2720.34503658917,-315,8.63601598917196,2.55047266585093e-10
PolBK,Global,6,0,4458.90813010201,-157.5,1827.09186989799,2631.81626020401,-315,8.35497225461592,2.50695420823028e-10
PolBK,Global,7,1,5253.69945747634,-157.5,1956.30054252366,3297.39891495268,-315,10.4679330633418,2.79740305436963e-10
PolBK,Global,8,0,4820.69359466249,-157.5,1787.30640533751,3033.38718932499,-315,9.62980060103171,2.60745802482351e-10
LastFM,Local,1,0,340272.731188258,-4574.40000000004,137351.268811742,202921.462376516,-9148.80000000007,22.1801178708152,5.80013067412462e-10
LastFM,Local,2,0,339321.398949578,-4574.40000000004,139184.601050422,200136.797899155,-9148.80000000007,21.8757430372457,5.79663424654889e-10
LastFM,Local,3,0,346028.097094559,-4574.40000000004,137615.902905441,208412.194189118,-9148.80000000007,22.7802765596708,5.85862804435183e-10
LastFM,Local,4,0,342842.276395639,-4574.40000000004,136923.723604361,205918.552791278,-9148.80000000007,22.5077116989415,5.80197733362209e-10
LastFM,Local,5,0,340788.91716477,-4574.40000000004,133797.08283523,206991.83432954,-9148.80000000007,22.6250256131447,5.78401920697577e-10
LastFM,Local,6,0,346828.912535773,-4574.40000000004,139349.087464227,207479.825071546,-9148.80000000007,22.6783649299957,5.88243014635195e-10
LastFM,Local,7,0,340242.503043622,-4574.40000000004,136023.496956378,204219.006087244,-9148.80000000007,22.3219445268497,5.78710808157668e-10
LastFM,Local,8,1,348315.163627801,-4574.40000000004,137610.836372199,210704.327255602,-9148.80000000007,23.0308157633351,5.90090017270953e-10
LastFM,Global,1,0,340676.723274208,-11436,136947.276725792,203729.446548416,-22872,8.90737349372227,2.60804169827338e-10
LastFM,Global,2,0,339154.585072073,-11436,139351.414927927,199803.170144146,-22872,8.73571048199309,2.60431873189813e-10
LastFM,Global,3,0,346660.759768121,-11436,136983.240231879,209677.519536241,-22872,9.16743264848903,2.64238533093243e-10
LastFM,Global,4,0,342514.288169668,-11436,137251.711830332,205262.576339336,-22872,8.97440435201712,2.6213468642291e-10
LastFM,Global,5,0,340706.806813816,-11436,133879.193186185,206827.613627631,-22872,9.0428302565421,2.59909223100374e-10
